grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
<30,Hombre,17,26 Apr - 02 May 20,2,100.0,0.3
<30,Hombre,18,03 May - 09 May 20,2,0.0,0.3
<30,Hombre,19,10 May - 16 May 20,1,-50.0,0.1
<30,Hombre,20,17 May - 23 May 20,6,500.0,0.9
<30,Hombre,21,24 May - 30 May 20,10,66.7,1.4
<30,Hombre,22,31 May - 06 Jun 20,7,-30.0,1.0
<30,Hombre,23,07 Jun - 13 Jun 20,9,28.6,1.3
<30,Hombre,24,14 Jun - 20 Jun 20,4,-55.6,0.6
<30,Hombre,25,21 Jun - 27 Jun 20,8,100.0,1.1
<30,Hombre,26,28 Jun - 04 Jul 20,6,-25.0,0.9
<30,Hombre,27,05 Jul - 11 Jul 20,3,-50.0,0.4
<30,Hombre,28,12 Jul - 18 Jul 20,4,33.3,0.6
<30,Hombre,29,19 Jul - 25 Jul 20,2,-50.0,0.3
<30,Hombre,30,26 Jul - 01 Aug 20,6,200.0,0.9
<30,Hombre,31,02 Aug - 08 Aug 20,4,-33.3,0.6
<30,Hombre,32,09 Aug - 15 Aug 20,4,0.0,0.6
<30,Hombre,33,16 Aug - 22 Aug 20,1,-75.0,0.1
<30,Hombre,34,23 Aug - 29 Aug 20,2,100.0,0.3
<30,Hombre,35,30 Aug - 05 Sep 20,1,-50.0,0.1
<30,Hombre,36,06 Sep - 12 Sep 20,3,200.0,0.4
<30,Hombre,37,13 Sep - 19 Sep 20,5,66.7,0.7
<30,Hombre,38,20 Sep - 26 Sep 20,1,-80.0,0.1
<30,Hombre,40,04 Oct - 10 Oct 20,1,0.0,0.1
<30,Hombre,41,11 Oct - 17 Oct 20,1,0.0,0.1
<30,Hombre,42,18 Oct - 24 Oct 20,1,0.0,0.1
<30,Hombre,43,25 Oct - 31 Oct 20,1,0.0,0.1
<30,Hombre,44,01 Nov - 07 Nov 20,4,300.0,0.6
<30,Hombre,45,08 Nov - 14 Nov 20,2,-50.0,0.3
<30,Hombre,48,29 Nov - 05 Dec 20,2,0.0,0.3
<30,Hombre,49,06 Dec - 12 Dec 20,2,0.0,0.3
<30,Hombre,50,13 Dec - 19 Dec 20,4,100.0,0.6
<30,Hombre,52,27 Dec - 02 Jan 21,2,-50.0,0.3
<30,Hombre,53,03 Jan - 09 Jan 21,4,100.0,0.6
<30,Hombre,54,10 Jan - 16 Jan 21,3,-25.0,0.4
<30,Hombre,55,17 Jan - 23 Jan 21,3,0.0,0.4
<30,Hombre,56,24 Jan - 30 Jan 21,4,33.3,0.6
<30,Hombre,57,31 Jan - 06 Feb 21,2,-50.0,0.3
<30,Hombre,58,07 Feb - 13 Feb 21,8,300.0,1.1
<30,Hombre,59,14 Feb - 20 Feb 21,3,-62.5,0.4
<30,Hombre,60,21 Feb - 27 Feb 21,3,0.0,0.4
<30,Hombre,61,28 Feb - 06 Mar 21,4,33.3,0.6
<30,Hombre,62,07 Mar - 13 Mar 21,4,0.0,0.6
<30,Hombre,63,14 Mar - 20 Mar 21,6,50.0,0.9
<30,Hombre,64,21 Mar - 27 Mar 21,5,-16.7,0.7
<30,Mujer,14,05 Apr - 11 Apr 20,1,-80.0,0.1
<30,Mujer,18,03 May - 09 May 20,2,100.0,0.3
<30,Mujer,19,10 May - 16 May 20,2,0.0,0.3
<30,Mujer,20,17 May - 23 May 20,4,100.0,0.6
<30,Mujer,21,24 May - 30 May 20,5,25.0,0.7
<30,Mujer,22,31 May - 06 Jun 20,6,20.0,0.9
<30,Mujer,23,07 Jun - 13 Jun 20,6,0.0,0.9
<30,Mujer,24,14 Jun - 20 Jun 20,5,-16.7,0.7
<30,Mujer,25,21 Jun - 27 Jun 20,4,-20.0,0.6
<30,Mujer,26,28 Jun - 04 Jul 20,1,-75.0,0.1
<30,Mujer,27,05 Jul - 11 Jul 20,6,500.0,0.9
<30,Mujer,28,12 Jul - 18 Jul 20,2,-66.7,0.3
<30,Mujer,29,19 Jul - 25 Jul 20,2,0.0,0.3
<30,Mujer,30,26 Jul - 01 Aug 20,1,-50.0,0.1
<30,Mujer,31,02 Aug - 08 Aug 20,3,200.0,0.4
