grupo_etario,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
>=70,30,26 Jul - 01 Aug 20,416,-5.7,59.4
>=70,31,02 Aug - 08 Aug 20,346,-16.8,49.4
>=70,32,09 Aug - 15 Aug 20,310,-10.4,44.3
>=70,33,16 Aug - 22 Aug 20,349,12.6,49.9
>=70,34,23 Aug - 29 Aug 20,317,-9.2,45.3
>=70,35,30 Aug - 05 Sep 20,294,-7.3,42.0
>=70,36,06 Sep - 12 Sep 20,316,7.5,45.1
>=70,37,13 Sep - 19 Sep 20,296,-6.3,42.3
>=70,38,20 Sep - 26 Sep 20,270,-8.8,38.6
>=70,39,27 Sep - 03 Oct 20,287,6.3,41.0
>=70,40,04 Oct - 10 Oct 20,252,-12.2,36.0
>=70,41,11 Oct - 17 Oct 20,261,3.6,37.3
>=70,42,18 Oct - 24 Oct 20,238,-8.8,34.0
>=70,43,25 Oct - 31 Oct 20,245,2.9,35.0
>=70,44,01 Nov - 07 Nov 20,249,1.6,35.6
>=70,45,08 Nov - 14 Nov 20,210,-15.7,30.0
>=70,46,15 Nov - 21 Nov 20,193,-8.1,27.6
>=70,47,22 Nov - 28 Nov 20,215,11.4,30.7
>=70,48,29 Nov - 05 Dec 20,210,-2.3,30.0
>=70,49,06 Dec - 12 Dec 20,229,9.0,32.7
>=70,50,13 Dec - 19 Dec 20,222,-3.1,31.7
>=70,51,20 Dec - 26 Dec 20,253,14.0,36.1
>=70,52,27 Dec - 02 Jan 21,238,-5.9,34.0
>=70,53,03 Jan - 09 Jan 21,314,31.9,44.9
>=70,54,10 Jan - 16 Jan 21,351,11.8,50.1
>=70,55,17 Jan - 23 Jan 21,456,29.9,65.1
>=70,56,24 Jan - 30 Jan 21,479,5.0,68.4
>=70,57,31 Jan - 06 Feb 21,498,4.0,71.1
>=70,58,07 Feb - 13 Feb 21,484,-2.8,69.1
>=70,59,14 Feb - 20 Feb 21,460,-5.0,65.7
>=70,60,21 Feb - 27 Feb 21,484,5.2,69.1
>=70,61,28 Feb - 06 Mar 21,491,1.4,70.1
>=70,62,07 Mar - 13 Mar 21,556,13.2,79.4
>=70,63,14 Mar - 20 Mar 21,538,-3.2,76.9
>=70,64,21 Mar - 27 Mar 21,504,-6.3,72.0
>=70,65,28 Mar - 31 Mar 21,241,-52.2,60.2
